hour,is_weekend,artifact_type,n,share
10,False,Other,75,0.04312823461759632
10,False,app_website,153,0.08798159861989649
10,False,code,374,0.21506612995974697
10,False,document,311,0.17883841288096608
10,False,explanation,294,0.16906267970097758
10,False,guidance,188,0.10810810810810811
10,False,misc,344,0.19781483611270845
10,True,Other,23,0.04925053533190578
10,True,app_website,28,0.059957173447537475
10,True,code,54,0.11563169164882227
10,True,document,83,0.1777301927194861
10,True,explanation,108,0.23126338329764454
10,True,guidance,83,0.1777301927194861
10,True,misc,88,0.18843683083511778
11,False,Other,67,0.038307604345340196
11,False,app_website,144,0.0823327615780446
11,False,code,346,0.1978273299028016
11,False,document,346,0.1978273299028016
11,False,explanation,288,0.1646655231560892
11,False,guidance,196,0.11206403659233848
11,False,misc,362,0.20697541452258433
11,True,Other,23,0.04722792607802875
11,True,app_website,30,0.061601642710472276
11,True,code,64,0.13141683778234087
11,True,document,54,0.11088295687885011
11,True,explanation,136,0.2792607802874743
11,True,guidance,87,0.17864476386036962
11,True,misc,93,0.19096509240246407
12,False,Other,78,0.04426787741203178
12,False,app_website,151,0.08569807037457434
12,False,code,368,0.20885357548240635
12,False,document,371,0.2105561861520999
12,False,explanation,259,0.14699205448354144
12,False,guidance,192,0.10896708286038592
12,False,misc,343,0.19466515323496028
12,True,Other,15,0.03177966101694915
12,True,app_website,20,0.0423728813559322
12,True,code,62,0.13135593220338984
12,True,document,68,0.1440677966101695
12,True,explanation,117,0.2478813559322034
12,True,guidance,80,0.1694915254237288
12,True,misc,110,0.2330508474576271
13,False,Other,72,0.04104903078677309
13,False,app_website,133,0.0758266818700114
13,False,code,368,0.20980615735461802
13,False,document,358,0.20410490307867732
13,False,explanation,271,0.15450399087799316
13,False,guidance,193,0.11003420752565564
13,False,misc,359,0.20467502850627137
13,True,Other,21,0.046460176991150445
13,True,app_website,26,0.05752212389380531
13,True,code,59,0.13053097345132744
13,True,document,63,0.13938053097345132
13,True,explanation,126,0.27876106194690264
13,True,guidance,61,0.13495575221238937
13,True,misc,96,0.21238938053097345
14,False,Other,65,0.03680634201585504
14,False,app_website,162,0.09173272933182333
14,False,code,388,0.21970554926387317
14,False,document,332,0.18799546998867497
14,False,explanation,270,0.15288788221970556
14,False,guidance,188,0.10645526613816535
14,False,misc,361,0.2044167610419026
14,True,Other,16,0.03206412825651302
14,True,app_website,28,0.056112224448897796
14,True,code,58,0.11623246492985972
14,True,document,81,0.1623246492985972
14,True,explanation,127,0.2545090180360721
14,True,guidance,70,0.1402805611222445
14,True,misc,119,0.23847695390781562
15,False,Other,64,0.034972677595628415
15,False,app_website,158,0.08633879781420765
15,False,code,413,0.22568306010928962
15,False,document,369,0.20163934426229507
15,False,explanation,279,0.15245901639344261
15,False,guidance,179,0.09781420765027322
15,False,misc,368,0.2010928961748634
15,True,Other,17,0.03736263736263736
15,True,app_website,21,0.046153846153846156
15,True,code,61,0.13406593406593406
15,True,document,63,0.13846153846153847
15,True,explanation,115,0.25274725274725274
15,True,guidance,81,0.17802197802197803
15,True,misc,97,0.21318681318681318
16,False,Other,66,0.03741496598639456
16,False,app_website,141,0.07993197278911565
16,False,code,365,0.20691609977324263
16,False,document,337,0.19104308390022676
16,False,explanation,294,0.16666666666666666
16,False,guidance,176,0.09977324263038549
16,False,misc,385,0.21825396825396826
16,True,Other,26,0.05714285714285714
16,True,app_website,29,0.06373626373626373
16,True,code,54,0.11868131868131868
16,True,document,59,0.12967032967032968
16,True,explanation,119,0.26153846153846155
16,True,guidance,77,0.16923076923076924
16,True,misc,91,0.2
17,False,Other,68,0.039397450753186555
17,False,app_website,146,0.08458864426419467
17,False,code,341,0.19756662804171496
17,False,document,358,0.2074159907300116
17,False,explanation,264,0.15295480880648898
17,False,guidance,203,0.11761297798377753
17,False,misc,346,0.20046349942062572
17,True,Other,23,0.05476190476190476
17,True,app_website,23,0.05476190476190476
17,True,code,50,0.11904761904761904
17,True,document,58,0.1380952380952381
17,True,explanation,102,0.24285714285714285
17,True,guidance,81,0.19285714285714287
17,True,misc,83,0.1976190476190476
18,False,Other,71,0.041986989946777055
18,False,app_website,147,0.08693081017149616
18,False,code,378,0.2235363690124187
18,False,document,325,0.192193968066233
18,False,explanation,256,0.15138971023063277
18,False,guidance,170,0.10053222945002957
18,False,misc,344,0.2034299231224128
18,True,Other,23,0.04904051172707889
18,True,app_website,22,0.046908315565031986
18,True,code,69,0.14712153518123666
18,True,document,66,0.14072494669509594
18,True,explanation,101,0.21535181236673773
18,True,guidance,82,0.17484008528784648
18,True,misc,106,0.2260127931769723
19,False,Other,67,0.06285178236397748
19,False,app_website,71,0.06660412757973734
19,False,code,142,0.13320825515947468
19,False,document,158,0.14821763602251406
19,False,explanation,200,0.18761726078799248
19,False,guidance,131,0.12288930581613508
19,False,misc,297,0.27861163227016883
19,True,Other,22,0.04824561403508772
19,True,app_website,26,0.05701754385964912
19,True,code,56,0.12280701754385964
19,True,document,68,0.14912280701754385
19,True,explanation,108,0.23684210526315788
19,True,guidance,73,0.1600877192982456
19,True,misc,103,0.22587719298245615
20,False,Other,49,0.044626593806921674
20,False,app_website,63,0.05737704918032787
20,False,code,161,0.14663023679417123
20,False,document,156,0.14207650273224043
20,False,explanation,269,0.24499089253187614
20,False,guidance,150,0.1366120218579235
20,False,misc,250,0.22768670309653916
20,True,Other,6,0.01366742596810934
20,True,app_website,27,0.06150341685649203
20,True,code,61,0.13895216400911162
20,True,document,58,0.13211845102505695
20,True,explanation,110,0.2505694760820046
20,True,guidance,68,0.1548974943052392
20,True,misc,109,0.24829157175398633
21,False,Other,51,0.047619047619047616
21,False,app_website,61,0.05695611577964519
21,False,code,145,0.1353874883286648
21,False,document,133,0.12418300653594772
21,False,explanation,296,0.27637721755368816
21,False,guidance,175,0.16339869281045752
21,False,misc,210,0.19607843137254902
21,True,Other,21,0.04697986577181208
21,True,app_website,34,0.07606263982102908
21,True,code,54,0.12080536912751678
21,True,document,58,0.1297539149888143
21,True,explanation,102,0.22818791946308725
21,True,guidance,88,0.19686800894854586
21,True,misc,90,0.20134228187919462
22,False,Other,52,0.0463871543264942
22,False,app_website,66,0.058876003568242644
22,False,code,144,0.12845673505798394
22,False,document,163,0.14540588760035683
22,False,explanation,255,0.22747546833184656
22,False,guidance,182,0.1623550401427297
22,False,misc,259,0.2310437109723461
22,True,Other,20,0.043478260869565216
22,True,app_website,22,0.04782608695652174
22,True,code,55,0.11956521739130435
22,True,document,73,0.15869565217391304
22,True,explanation,112,0.24347826086956523
22,True,guidance,76,0.16521739130434782
22,True,misc,102,0.2217391304347826
23,False,Other,54,0.04838709677419355
23,False,app_website,76,0.06810035842293907
23,False,code,152,0.13620071684587814
23,False,document,154,0.13799283154121864
23,False,explanation,268,0.24014336917562723
23,False,guidance,171,0.1532258064516129
23,False,misc,241,0.21594982078853048
23,True,Other,29,0.06575963718820861
23,True,app_website,27,0.061224489795918366
23,True,code,57,0.1292517006802721
23,True,document,75,0.17006802721088435
23,True,explanation,99,0.22448979591836735
23,True,guidance,74,0.16780045351473924
23,True,misc,80,0.18140589569160998
